report_date	category	revenue
10/05/2022	Western Dress	271077.0
10/05/2022	kurta	615341.0
11/05/2022	Blouse	17659.0
11/05/2022	Bottom	2316.0
11/05/2022	Ethnic Dress	24382.0
11/05/2022	Saree	5974.0
11/05/2022	Set	1004078.0
11/05/2022	Top	150172.0
11/05/2022	Western Dress	274354.0
11/05/2022	kurta	572594.0
12/05/2022	Blouse	19366.0
12/05/2022	Bottom	2014.0
12/05/2022	Ethnic Dress	23846.0
12/05/2022	Saree	7253.0
12/05/2022	Set	945717.0
12/05/2022	Top	149083.0
12/05/2022	Western Dress	316486.0
12/05/2022	kurta	496589.0
13/05/2022	Blouse	16791.0
13/05/2022	Bottom	2817.0
13/05/2022	Ethnic Dress	26569.0
13/05/2022	Saree	4595.0
13/05/2022	Set	943935.0
13/05/2022	Top	132073.0
13/05/2022	Western Dress	357344.0
13/05/2022	kurta	469415.0
14/05/2022	Blouse	17710.0
14/05/2022	Bottom	5007.0
14/05/2022	Ethnic Dress	28284.0
14/05/2022	Saree	4794.0
14/05/2022	Set	951900.0
14/05/2022	Top	142486.0
14/05/2022	Western Dress	363006.0
14/05/2022	kurta	462916.0
15/05/2022	Blouse	15086.0
15/05/2022	Bottom	7133.0
15/05/2022	Ethnic Dress	30185.0
15/05/2022	Saree	2542.0
15/05/2022	Set	1024866.0
15/05/2022	Top	167885.0
15/05/2022	Western Dress	397063.0
15/05/2022	kurta	493164.0
16/05/2022	Blouse	13634.0
16/05/2022	Bottom	6986.0
16/05/2022	Ethnic Dress	31346.0
16/05/2022	Saree	2655.0
16/05/2022	Set	1024597.0
16/05/2022	Top	184121.0
16/05/2022	Western Dress	386009.0
16/05/2022	kurta	526440.0
17/05/2022	Blouse	7081.0
17/05/2022	Bottom	5414.0
17/05/2022	Ethnic Dress	30280.0
17/05/2022	Saree	885.0
17/05/2022	Set	1030728.0
17/05/2022	Top	189925.0
17/05/2022	Western Dress	386857.0
17/05/2022	kurta	520137.0
18/05/2022	Blouse	8048.0
18/05/2022	Bottom	2928.0
18/05/2022	Ethnic Dress	28035.0
18/05/2022	Saree	1805.0
18/05/2022	Set	996600.0
18/05/2022	Top	170899.0
18/05/2022	Western Dress	385937.0
18/05/2022	kurta	492938.0
19/05/2022	Blouse	12652.0
19/05/2022	Bottom	3069.0
19/05/2022	Ethnic Dress	21100.0
19/05/2022	Saree	2486.0
19/05/2022	Set	1001480.0
19/05/2022	Top	179924.0
19/05/2022	Western Dress	424937.0
19/05/2022	kurta	475724.0
20/05/2022	Blouse	17004.0
20/05/2022	Bottom	5554.0
20/05/2022	Ethnic Dress	17261.0
20/05/2022	Saree	4053.0
20/05/2022	Set	933956.0
20/05/2022	Top	162151.0
20/05/2022	Western Dress	466374.0
20/05/2022	kurta	472998.0
21/05/2022	Blouse	17652.0
21/05/2022	Bottom	7409.0
21/05/2022	Ethnic Dress	18998.0
21/05/2022	Saree	4018.0
21/05/2022	Set	853932.0
21/05/2022	Top	163399.0
21/05/2022	Western Dress	457440.0
21/05/2022	kurta	462456.0
22/05/2022	Blouse	12552.0
22/05/2022	Bottom	5939.0
22/05/2022	Ethnic Dress	20878.0
22/05/2022	Saree	2452.0
22/05/2022	Set	871804.0
22/05/2022	Top	170729.0
22/05/2022	Western Dress	427276.0
22/05/2022	kurta	475505.0
23/05/2022	Blouse	11048.0
23/05/2022	Bottom	5314.0
23/05/2022	Ethnic Dress	23768.0
23/05/2022	Saree	1770.0
23/05/2022	Set	913723.0
23/05/2022	Top	188725.0
23/05/2022	Western Dress	400169.0
23/05/2022	kurta	489699.0
24/05/2022	Blouse	11216.0
24/05/2022	Bottom	5708.0
24/05/2022	Ethnic Dress	25614.0
24/05/2022	Saree	1770.0
24/05/2022	Set	974376.0
24/05/2022	Top	196903.0
24/05/2022	Western Dress	389026.0
24/05/2022	kurta	508205.0
25/05/2022	Blouse	15704.0
25/05/2022	Bottom	7786.0
25/05/2022	Ethnic Dress	26935.0
25/05/2022	Saree	3337.0
25/05/2022	Set	974111.0
25/05/2022	Top	203953.0
25/05/2022	Western Dress	372659.0
25/05/2022	kurta	542876.0
26/05/2022	Blouse	14981.0
26/05/2022	Bottom	6300.0
26/05/2022	Ethnic Dress	29572.0
26/05/2022	Saree	3208.0
26/05/2022	Set	967936.0
26/05/2022	Top	191048.0
26/05/2022	Western Dress	385120.0
26/05/2022	kurta	570993.0
27/05/2022	Blouse	14930.0
27/05/2022	Bottom	4948.0
27/05/2022	Ethnic Dress	28051.0
27/05/2022	Saree	3114.0
27/05/2022	Set	955747.0
27/05/2022	Top	184155.0
27/05/2022	Western Dress	432404.0
27/05/2022	kurta	600144.0
28/05/2022	Blouse	11548.0
28/05/2022	Bottom	3369.0
28/05/2022	Ethnic Dress	29949.0
28/05/2022	Saree	4202.0
28/05/2022	Set	948460.0
28/05/2022	Top	183381.0
28/05/2022	Western Dress	482267.0
28/05/2022	kurta	602333.0
29/05/2022	Blouse	11652.0
29/05/2022	Bottom	2432.0
29/05/2022	Ethnic Dress	26444.0
29/05/2022	Saree	5017.0
29/05/2022	Set	957052.0
29/05/2022	Top	206205.0
29/05/2022	Western Dress	492399.0
29/05/2022	kurta	607240.0
30/05/2022	Blouse	11808.0
30/05/2022	Bottom	2655.0
30/05/2022	Ethnic Dress	23785.0
30/05/2022	Saree	4226.0
30/05/2022	Set	1008106.0
30/05/2022	Top	209030.0
30/05/2022	Western Dress	476169.0
30/05/2022	kurta	574236.0
31/05/2022	Blouse	13383.0
31/05/2022	Bottom	1777.0
31/05/2022	Ethnic Dress	30383.0
31/05/2022	Saree	2456.0
31/05/2022	Set	1043081.0
31/05/2022	Top	202756.0
31/05/2022	Western Dress	481445.0
31/05/2022	kurta	562593.0
01/06/2022	Blouse	12608.0
01/06/2022	Bottom	2316.0
01/06/2022	Ethnic Dress	42505.0
01/06/2022	Saree	2359.0
01/06/2022	Set	1087298.0
01/06/2022	Top	200247.0
01/06/2022	Western Dress	505306.0
01/06/2022	kurta	579907.0
02/06/2022	Blouse	12485.0
02/06/2022	Bottom	2232.0
02/06/2022	Ethnic Dress	47537.0
02/06/2022	Saree	3944.0
02/06/2022	Set	1092230.0
02/06/2022	Top	200423.0
02/06/2022	Western Dress	525545.0
02/06/2022	kurta	603665.0
03/06/2022	Blouse	10849.0
03/06/2022	Bottom	2335.0
03/06/2022	Ethnic Dress	34232.0
03/06/2022	Saree	3059.0
03/06/2022	Set	1026100.0
03/06/2022	Top	167211.0
03/06/2022	Western Dress	468086.0
03/06/2022	kurta	626821.0
04/06/2022	Blouse	10809.0
04/06/2022	Bottom	1791.0
04/06/2022	Ethnic Dress	22627.0
04/06/2022	Saree	4031.0
04/06/2022	Set	1052932.0
04/06/2022	Top	132119.0
04/06/2022	Western Dress	405175.0
04/06/2022	kurta	677690.0
05/06/2022	Blouse	8502.0
05/06/2022	Bottom	1484.0
05/06/2022	Ethnic Dress	27181.0
05/06/2022	Saree	6689.0
05/06/2022	Set	1097928.0
05/06/2022	Top	119079.0
05/06/2022	Western Dress	346059.0
05/06/2022	kurta	786569.0
06/06/2022	Blouse	9277.0
06/06/2022	Bottom	1080.0
06/06/2022	Ethnic Dress	28385.0
06/06/2022	Saree	6689.0
06/06/2022	Set	1212077.0
06/06/2022	Top	130044.0
06/06/2022	Western Dress	378832.0
06/06/2022	kurta	831339.0
07/06/2022	Blouse	8736.0
07/06/2022	Bottom	1030.0
07/06/2022	Ethnic Dress	29035.0
07/06/2022	Saree	4243.0
07/06/2022	Set	1244933.0
07/06/2022	Top	138733.0
07/06/2022	Western Dress	418646.0
07/06/2022	kurta	817511.0
08/06/2022	Blouse	13139.0
08/06/2022	Bottom	1965.0
08/06/2022	Ethnic Dress	19514.0
08/06/2022	Set	1205585.0
08/06/2022	Top	149778.0
08/06/2022	Western Dress	456067.0
08/06/2022	kurta	775614.0
09/06/2022	Blouse	12109.0
09/06/2022	Bottom	2391.0
09/06/2022	Ethnic Dress	25098.0
09/06/2022	Saree	898.0
09/06/2022	Set	1161945.0
09/06/2022	Top	172544.0
09/06/2022	Western Dress	464533.0
09/06/2022	kurta	772891.0
10/06/2022	Blouse	11434.0
10/06/2022	Bottom	2692.0
10/06/2022	Ethnic Dress	24121.0
10/06/2022	Saree	1896.0
10/06/2022	Set	1073799.0
10/06/2022	Top	173464.0
10/06/2022	Western Dress	452920.0
10/06/2022	kurta	727380.0
11/06/2022	Blouse	10040.0
11/06/2022	Bottom	2854.0
11/06/2022	Ethnic Dress	29874.0
11/06/2022	Saree	3537.0
11/06/2022	Set	1051752.0
11/06/2022	Top	175351.0
11/06/2022	Western Dress	427852.0
11/06/2022	kurta	690841.0
12/06/2022	Blouse	10123.0
12/06/2022	Bottom	3030.0
12/06/2022	Ethnic Dress	27031.0
12/06/2022	Saree	4167.0
12/06/2022	Set	1074768.0
12/06/2022	Top	197188.0
12/06/2022	Western Dress	420658.0
12/06/2022	kurta	671881.0
13/06/2022	Blouse	13236.0
13/06/2022	Bottom	3268.0
13/06/2022	Ethnic Dress	29823.0
13/06/2022	Saree	4713.0
13/06/2022	Set	1098381.0
13/06/2022	Top	217815.0
13/06/2022	Western Dress	403185.0
13/06/2022	kurta	684425.0
14/06/2022	Blouse	13564.0
14/06/2022	Bottom	2464.0
14/06/2022	Ethnic Dress	31302.0
14/06/2022	Saree	3809.0
14/06/2022	Set	1124968.0
14/06/2022	Top	221212.0
14/06/2022	Western Dress	406104.0
14/06/2022	kurta	688934.0
15/06/2022	Blouse	15969.0
15/06/2022	Bottom	2725.0
15/06/2022	Ethnic Dress	29547.0
15/06/2022	Saree	3696.0
15/06/2022	Set	1098684.0
15/06/2022	Top	181604.0
15/06/2022	Western Dress	372074.0
15/06/2022	kurta	622112.0
16/06/2022	Blouse	15150.0
16/06/2022	Bottom	3213.0
16/06/2022	Ethnic Dress	25133.0
16/06/2022	Saree	2152.0
16/06/2022	Set	1111975.0
16/06/2022	Top	154346.0
16/06/2022	Western Dress	346020.0
16/06/2022	kurta	613159.0
17/06/2022	Blouse	10445.0
17/06/2022	Bottom	3612.0
17/06/2022	Ethnic Dress	21812.0
17/06/2022	Saree	2300.0
17/06/2022	Set	1089767.0
17/06/2022	Top	133044.0
17/06/2022	Western Dress	301118.0
17/06/2022	kurta	570494.0
18/06/2022	Blouse	7823.0
18/06/2022	Bottom	4542.0
18/06/2022	Ethnic Dress	20088.0
18/06/2022	Saree	1544.0
18/06/2022	Set	1061443.0
18/06/2022	Top	117964.0
18/06/2022	Western Dress	285341.0
18/06/2022	kurta	578098.0
19/06/2022	Blouse	8110.0
19/06/2022	Bottom	4176.0
19/06/2022	Ethnic Dress	21025.0
19/06/2022	Saree	1544.0
19/06/2022	Set	1033687.0
19/06/2022	Top	118103.0
19/06/2022	Western Dress	270155.0
19/06/2022	kurta	538914.0
20/06/2022	Blouse	10137.0
20/06/2022	Bottom	4312.0
20/06/2022	Ethnic Dress	22983.0
20/06/2022	Saree	659.0
20/06/2022	Set	1001534.0
20/06/2022	Top	115719.0
20/06/2022	Western Dress	270917.0
20/06/2022	kurta	568346.0
21/06/2022	Blouse	11068.0
21/06/2022	Bottom	4873.0
21/06/2022	Ethnic Dress	27117.0
21/06/2022	Saree	885.0
21/06/2022	Set	1002190.0
21/06/2022	Top	120180.0
21/06/2022	Western Dress	285335.0
21/06/2022	kurta	593101.0
22/06/2022	Blouse	11184.0
22/06/2022	Bottom	5806.0
22/06/2022	Ethnic Dress	28404.0
22/06/2022	Saree	1559.0
22/06/2022	Set	998641.0
22/06/2022	Top	123009.0
22/06/2022	Western Dress	315476.0
22/06/2022	kurta	628995.0
23/06/2022	Blouse	10831.0
23/06/2022	Bottom	5971.0
23/06/2022	Ethnic Dress	20682.0
23/06/2022	Saree	2218.0
23/06/2022	Set	956062.0
23/06/2022	Top	103247.0
23/06/2022	Western Dress	319138.0
23/06/2022	kurta	602040.0
24/06/2022	Blouse	8406.0
24/06/2022	Bottom	5381.0
24/06/2022	Ethnic Dress	14017.0
24/06/2022	Saree	1992.0
24/06/2022	Set	913167.0
24/06/2022	Top	89466.0
24/06/2022	Western Dress	294771.0
24/06/2022	kurta	553000.0
25/06/2022	Blouse	5457.0
25/06/2022	Bottom	4958.0
